Cluster,Word,Response,jP_XC,jP_CX,jP_CCX,jP_CCCX,OnsetMax,Morph_XC,Morph_CX,Morph_CCX,Morph_CCCX,Frequency,P_stress,P_lax,codaP,onsetP
"('NG', 'G')",tangle,X,0.0,1.0,0.0,0,CX,0.25,0.25,0.25,0,0,True,True,,
"('NG', 'G')",dangle,XC,0.0,1.0,0.0,0,CX,0.25,0.25,0.25,0,0,True,True,0.9787278854254423,0.0
"('NG', 'G')",dangle,CX,0.0,1.0,0.0,0,CX,0.25,0.25,0.25,0,20,True,True,0.02127211457455771,0.0665317480394637
"('NG', 'G')",dangle,CCX,0.0,1.0,0.0,0,CX,0.25,0.25,0.25,0,0,True,True,0.0,0.9334682519605363
"('NG', 'G')",dangle,X,0.0,1.0,0.0,0,CX,0.25,0.25,0.25,0,1,True,True,,
"('P',)",dapper,XC,0.8501439384006303,0.14985606159936973,0,0,XC,0.25,0.25,0,0,16,True,True,0.9567634342186535,0.20405522001725626
"('P',)",dapper,CX,0.8501439384006303,0.14985606159936973,0,0,XC,0.25,0.25,0,0,5,True,True,0.04323656578134651,0.7959447799827438
"('P',)",dapper,X,0.8501439384006303,0.14985606159936973,0,0,XC,0.25,0.25,0,0,0,True,True,,
"('N', 'T')",dentist,XC,0.0,0.3833939322691433,0.6166060677308568,0,CX,0.25,0.25,0.25,0,0,True,True,0.6025674273858921,0.0
"('N', 'T')",dentist,CX,0.0,0.3833939322691433,0.6166060677308568,0,CX,0.25,0.25,0.25,0,19,True,True,0.32002074688796683,0.13074204946996465
"('N', 'T')",dentist,CCX,0.0,0.3833939322691433,0.6166060677308568,0,CX,0.25,0.25,0.25,0,2,True,True,0.07741182572614108,0.8692579505300353
"('N', 'T')",dentist,X,0.0,0.3833939322691433,0.6166060677308568,0,CX,0.25,0.25,0.25,0,0,True,True,,
